Date,Total_Transaction_PHP
2025-12-02,1422.09
2025-12-03,1376.85
2025-12-04,1561.8
2025-12-05,1580.83
2025-12-08,1626.58
2025-12-09,1618.7
2025-12-10,1562.5
2025-12-11,1526.36
2025-12-12,1389.54
2025-12-15,1338.37
2025-12-16,1236.89
2025-12-17,1169.87
2025-12-18,1119.82
2025-12-19,1156.85
2025-12-22,1277.51
2025-12-23,1355.3
2025-12-24,1391.68
2025-12-25,1539.58
2025-12-26,1648.31
2025-12-29,1585.53
2025-12-30,1690.44
2025-12-31,1599.97
2026-01-01,1584.0
2026-01-02,1429.48
2026-01-05,1281.18
2026-01-06,1198.07
2026-01-07,1208.25
2026-01-08,1189.59
2026-01-09,1150.99
2026-01-12,1274.04
2026-01-13,1255.14
2026-01-14,1428.45
2026-01-15,1478.44
2026-01-16,1588.2
2026-01-19,1673.29
2026-01-20,1646.22
2026-01-21,1639.45
2026-01-22,1636.81
2026-01-23,1474.48
2026-01-26,1436.62
2026-01-27,1253.68
2026-01-28,1256.9
2026-01-29,1261.72
2026-01-30,1090.96
2026-02-02,1212.48
2026-02-03,1353.7
2026-02-04,1418.03
2026-02-05,1546.78
2026-02-06,1592.14
