Transaction_Date,Total_Disbursed_PHP
2025-07-10,73945.56
2025-07-11,74130.92
2025-07-12,80492.68
2025-07-13,73715.66
2025-07-14,79149.06
2025-07-15,93182.34
2025-07-16,83297.41
2025-07-17,73470.6
2025-07-18,85440.02
2025-07-19,72318.47
2025-07-20,59032.15
2025-07-21,67027.9
2025-07-22,59883.16
2025-07-23,71795.81
2025-07-24,74515.29
2025-07-25,87541.13
2025-07-26,76508.48
2025-07-27,71905.49
2025-07-28,80060.64
2025-07-29,55505.37
2025-07-30,74850.44
2025-07-31,78905.59
2025-08-01,60685.28
2025-08-02,81441.52
2025-08-03,74779.25
2025-08-04,68531.12
2025-08-05,76700.23
2025-08-06,89590.54
2025-08-07,72669.49
2025-08-08,72992.49
2025-08-09,67126.67
2025-08-10,63800.34
2025-08-11,77042.11
2025-08-12,63353.93
2025-08-13,70581.2
2025-08-14,65996.43
2025-08-15,73461.57
2025-08-16,72114.14
2025-08-17,77563.39
2025-08-18,65004.35
2025-08-19,66750.12
2025-08-20,60906.93
2025-08-21,65013.94
2025-08-22,71421.33
