Branch_Location,Loan_Product,Employment_Status,Credit_Risk_Rating,Loan_Status,Loan_Amount_PHP,Interest_Rate_Annual,Monthly_Income_PHP,Loan_Term_Months,Days_Past_Due,Application_Date,Disbursement_Date
Makati CBD Branch,Emergency Cash Loan,Regular,Medium Risk,Restructured,78351.99,10.84,17451.97,36,68,2025-01-01,2025-01-03
Quezon City Hub,Salary Loan,OFW Dependent,Medium Risk,Past Due,153150.88,15.2,94402.43,12,88,2025-05-15,2025-05-18
Davao Central Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Past Due,189517.3,23.13,63144.92,24,30,2025-04-05,2025-04-11
Quezon City Hub,Salary Loan,Regular,High Risk,Fully Paid,233474.29,15.01,45370.7,24,49,2025-05-20,2025-05-22
Cebu IT Park Branch,Emergency Cash Loan,Regular,Low Risk,Fully Paid,394736.22,18.4,109508.73,36,19,2025-04-16,2025-04-19
Davao Central Branch,Emergency Cash Loan,Self-Employed,Low Risk,Restructured,107840.15,14.66,27194.59,36,54,2025-05-13,2025-05-16
Makati CBD Branch,Emergency Cash Loan,Contractual,Medium Risk,Fully Paid,261974.87,12.75,115371.48,12,80,2025-04-18,2025-04-23
Makati CBD Branch,OFW Remittance Advance,Self-Employed,Low Risk,Active,300283.14,23.75,47966.51,12,1,2025-06-27,2025-07-03
Cebu IT Park Branch,Small Business Micro-Loan,Regular,Medium Risk,Past Due,32760.7,14.84,108282.39,6,24,2025-02-11,2025-02-16
Davao Central Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Restructured,307696.98,22.36,78309.0,24,12,2025-04-12,2025-04-14
Quezon City Hub,OFW Remittance Advance,Regular,Low Risk,Restructured,93556.82,12.06,101804.27,24,69,2025-05-04,2025-05-09
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Active,41875.28,11.8,118321.38,36,66,2025-05-20,2025-05-26
Cebu IT Park Branch,Salary Loan,OFW Dependent,Low Risk,Active,474953.91,8.98,45282.57,6,57,2025-04-13,2025-04-17
Cebu IT Park Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Active,483159.7,18.6,115919.23,24,81,2025-05-26,2025-05-30
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,Low Risk,Active,406114.7,14.21,55895.6,6,74,2025-03-15,2025-03-17
Davao Central Branch,Salary Loan,Contractual,Medium Risk,Restructured,159260.75,21.9,55478.75,6,83,2025-04-18,2025-04-22
Makati CBD Branch,Small Business Micro-Loan,Regular,Low Risk,Past Due,57859.34,15.83,50740.65,36,63,2025-05-02,2025-05-07
Cebu IT Park Branch,Salary Loan,Self-Employed,Medium Risk,Past Due,345274.18,23.51,71847.8,6,68,2025-01-17,2025-01-19
Quezon City Hub,OFW Remittance Advance,OFW Dependent,Medium Risk,Active,225674.72,11.38,31185.23,12,82,2025-03-12,2025-03-18
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Fully Paid,69798.74,21.96,73139.71,12,85,2025-03-03,2025-03-05
Quezon City Hub,Emergency Cash Loan,Self-Employed,Low Risk,Restructured,252636.69,20.54,71879.01,18,58,2025-02-10,2025-02-12
Quezon City Hub,Salary Loan,Self-Employed,High Risk,Past Due,26850.38,20.45,94999.69,36,59,2025-04-29,2025-05-02
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Active,455567.0,21.59,102533.25,18,82,2025-06-11,2025-06-14
Cebu IT Park Branch,OFW Remittance Advance,Self-Employed,Medium Risk,Fully Paid,136802.19,20.3,61246.34,12,61,2025-02-14,2025-02-16
Quezon City Hub,Salary Loan,Self-Employed,Low Risk,Fully Paid,334635.92,18.21,46744.99,18,15,2025-02-27,2025-03-03
Davao Central Branch,OFW Remittance Advance,Contractual,Medium Risk,Active,162738.43,10.53,42230.16,36,87,2025-06-28,2025-07-01
Quezon City Hub,Small Business Micro-Loan,Self-Employed,Medium Risk,Restructured,264833.33,9.0,35435.5,36,67,2025-05-06,2025-05-12
Davao Central Branch,OFW Remittance Advance,Regular,Medium Risk,Past Due,277888.04,22.77,21053.0,6,14,2025-06-11,2025-06-16
Davao Central Branch,Salary Loan,Regular,Medium Risk,Fully Paid,100578.68,18.06,50957.04,24,88,2025-02-13,2025-02-16
Cebu IT Park Branch,Small Business Micro-Loan,Regular,High Risk,Past Due,485096.47,20.85,43376.01,6,54,2025-01-15,2025-01-17
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Past Due,389815.08,15.96,116473.83,36,34,2025-03-19,2025-03-23
Quezon City Hub,OFW Remittance Advance,Regular,Medium Risk,Fully Paid,470354.48,10.32,73559.43,12,54,2025-03-11,2025-03-16
Davao Central Branch,Emergency Cash Loan,Contractual,Medium Risk,Active,448465.4,10.44,51464.09,12,13,2025-06-27,2025-06-30
Cebu IT Park Branch,Small Business Micro-Loan,Regular,Medium Risk,Fully Paid,302970.99,19.13,75949.1,6,48,2025-04-11,2025-04-15
Makati CBD Branch,Salary Loan,OFW Dependent,High Risk,Fully Paid,461718.38,15.17,29615.65,36,82,2025-06-09,2025-06-13
Quezon City Hub,Emergency Cash Loan,Contractual,High Risk,Restructured,53361.33,11.61,61624.59,12,6,2025-01-03,2025-01-07
Quezon City Hub,Emergency Cash Loan,Regular,Low Risk,Past Due,106031.6,16.12,80754.6,36,29,2025-03-27,2025-03-29
Cebu IT Park Branch,Small Business Micro-Loan,Contractual,Low Risk,Active,32161.37,9.5,66334.27,12,82,2025-03-15,2025-03-21
Cebu IT Park Branch,OFW Remittance Advance,Contractual,Medium Risk,Past Due,169411.86,17.52,57186.77,36,48,2025-02-20,2025-02-24
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Fully Paid,200451.87,12.67,119354.08,18,88,2025-03-08,2025-03-13
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,High Risk,Active,142961.03,20.86,107433.05,36,15,2025-03-17,2025-03-20
Quezon City Hub,Small Business Micro-Loan,Contractual,Medium Risk,Active,416081.38,13.31,80457.63,36,50,2025-04-03,2025-04-08
Makati CBD Branch,Salary Loan,Regular,Medium Risk,Active,184809.13,15.56,74784.62,6,71,2025-06-25,2025-06-27
Davao Central Branch,Emergency Cash Loan,OFW Dependent,High Risk,Active,147657.91,8.68,80169.35,18,81,2025-05-25,2025-05-27
Davao Central Branch,Salary Loan,Contractual,High Risk,Restructured,275921.08,9.62,36137.77,24,79,2025-01-07,2025-01-12
Makati CBD Branch,OFW Remittance Advance,Self-Employed,High Risk,Active,79052.87,14.58,56489.46,6,82,2025-01-13,2025-01-19
Makati CBD Branch,OFW Remittance Advance,Self-Employed,High Risk,Fully Paid,,15.94,19143.25,24,41,2025-04-30,2025-05-02
Makati CBD Branch,Salary Loan,OFW Dependent,Low Risk,Restructured,46529.82,17.8,64932.33,12,16,2025-03-07,2025-03-09
Cebu IT Park Branch,Small Business Micro-Loan,Regular,High Risk,Fully Paid,493574.6,13.02,72017.58,24,62,2025-01-04,2025-01-09
Quezon City Hub,Small Business Micro-Loan,Self-Employed,High Risk,Fully Paid,388399.94,19.27,38913.72,36,44,2025-05-18,2025-05-20
Quezon City Hub,Emergency Cash Loan,Self-Employed,Medium Risk,Past Due,107370.68,21.83,116223.03,24,76,2025-03-29,2025-04-04
Quezon City Hub,Emergency Cash Loan,Self-Employed,Medium Risk,Active,12705.84,20.59,110492.73,6,6,2025-01-17,2025-01-23
Cebu IT Park Branch,Small Business Micro-Loan,Regular,Medium Risk,Active,409576.1,9.11,90825.04,6,26,2025-02-21,2025-02-27
Quezon City Hub,Small Business Micro-Loan,Regular,Low Risk,Fully Paid,356360.1,15.95,71005.6,24,9,2025-05-14,2025-05-17
Cebu IT Park Branch,Salary Loan,OFW Dependent,High Risk,Active,367213.51,10.13,106346.76,6,33,2025-03-10,2025-03-16
Quezon City Hub,OFW Remittance Advance,OFW Dependent,High Risk,Restructured,387922.47,12.25,28718.5,6,35,2025-05-17,2025-05-23
Makati CBD Branch,OFW Remittance Advance,Self-Employed,Low Risk,Past Due,46281.88,23.79,98003.53,24,24,2025-01-21,2025-01-24
Davao Central Branch,Emergency Cash Loan,Regular,High Risk,Active,185648.21,10.71,28106.19,18,5,2025-01-24,2025-01-28
Davao Central Branch,Small Business Micro-Loan,Contractual,Medium Risk,Active,66775.84,16.23,98392.12,18,23,2025-01-04,2025-01-06
Cebu IT Park Branch,Salary Loan,Self-Employed,Low Risk,Restructured,432920.68,18.08,43955.59,12,17,2025-06-01,2025-06-07
Quezon City Hub,Emergency Cash Loan,OFW Dependent,High Risk,Past Due,315416.08,19.39,107094.51,6,86,2025-01-03,2025-01-05
Davao Central Branch,Salary Loan,Regular,Low Risk,Restructured,172140.03,17.17,114124.42,24,5,2025-03-09,2025-03-14
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,Low Risk,Fully Paid,41143.59,8.65,30623.58,6,28,2025-04-11,2025-04-13
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Fully Paid,162381.34,13.56,63580.94,36,24,2025-06-17,2025-06-20
Makati CBD Branch,Small Business Micro-Loan,Regular,Medium Risk,Active,169339.83,16.52,118003.67,6,54,2025-06-25,2025-06-27
Cebu IT Park Branch,OFW Remittance Advance,Self-Employed,High Risk,Past Due,,9.86,65757.78,6,80,2025-02-23,2025-02-25
Cebu IT Park Branch,Small Business Micro-Loan,Regular,High Risk,Fully Paid,322403.16,13.93,105672.49,18,45,2025-02-04,2025-02-06
Quezon City Hub,Emergency Cash Loan,Self-Employed,Medium Risk,Restructured,444734.24,9.01,76816.81,24,23,2025-02-25,2025-03-01
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,High Risk,Fully Paid,241385.31,9.72,54409.64,6,74,2025-04-18,2025-04-22
Quezon City Hub,Salary Loan,Regular,High Risk,Fully Paid,68601.18,14.65,45007.27,18,25,2025-02-09,2025-02-14
Quezon City Hub,Emergency Cash Loan,Contractual,High Risk,Restructured,359489.95,10.56,36338.42,12,27,2025-03-09,2025-03-12
Makati CBD Branch,Emergency Cash Loan,Self-Employed,Low Risk,Active,382784.67,17.3,94988.81,18,2,2025-02-15,2025-02-17
Quezon City Hub,Salary Loan,Contractual,Low Risk,Past Due,285025.83,19.19,55586.75,18,74,2025-03-19,2025-03-21
Davao Central Branch,OFW Remittance Advance,Self-Employed,Low Risk,Active,387773.92,20.91,68683.92,18,37,2025-05-21,2025-05-23
Cebu IT Park Branch,Emergency Cash Loan,Regular,High Risk,Restructured,,11.6,66694.18,6,60,2025-06-04,2025-06-06
Quezon City Hub,Emergency Cash Loan,Contractual,Medium Risk,Fully Paid,266139.09,11.1,75614.3,6,77,2025-01-06,2025-01-10
Makati CBD Branch,Emergency Cash Loan,Regular,Low Risk,Past Due,219495.1,10.12,105885.6,12,50,2025-01-17,2025-01-22
Cebu IT Park Branch,OFW Remittance Advance,Self-Employed,Medium Risk,Active,22455.37,18.36,117977.63,36,89,2025-06-13,2025-06-19
Cebu IT Park Branch,OFW Remittance Advance,Self-Employed,High Risk,Restructured,62866.8,19.45,57796.34,36,47,2025-04-09,2025-04-12
Quezon City Hub,OFW Remittance Advance,Self-Employed,Low Risk,Fully Paid,25400.3,8.99,101889.49,36,20,2025-03-22,2025-03-24
Davao Central Branch,Emergency Cash Loan,Self-Employed,High Risk,Fully Paid,321841.1,23.01,95275.42,12,53,2025-01-02,2025-01-07
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,Medium Risk,Active,164034.43,9.31,75220.54,36,55,2025-03-18,2025-03-24
Davao Central Branch,Salary Loan,Self-Employed,Low Risk,Restructured,259199.64,16.89,115384.95,36,58,2025-06-29,2025-07-04
Cebu IT Park Branch,Small Business Micro-Loan,Contractual,Low Risk,Fully Paid,454707.57,19.49,36049.82,18,71,2025-03-07,2025-03-11
Quezon City Hub,OFW Remittance Advance,Self-Employed,Low Risk,Fully Paid,132153.19,22.0,26472.74,6,50,2025-02-21,2025-02-27
Makati CBD Branch,Emergency Cash Loan,Regular,Low Risk,Past Due,211087.63,19.57,104666.01,6,19,2025-04-02,2025-04-07
Quezon City Hub,Emergency Cash Loan,OFW Dependent,Medium Risk,Fully Paid,380220.06,20.93,61110.73,18,85,2025-06-20,2025-06-24
Davao Central Branch,Small Business Micro-Loan,Contractual,Low Risk,Active,,13.76,103931.73,18,58,2025-01-22,2025-01-27
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Restructured,47720.16,21.13,108774.47,18,70,2025-04-21,2025-04-26
Quezon City Hub,Salary Loan,OFW Dependent,Low Risk,Restructured,151978.21,9.74,21558.05,6,8,2025-04-17,2025-04-23
Davao Central Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Past Due,88998.43,22.37,107763.8,36,0,2025-03-08,2025-03-12
Cebu IT Park Branch,Small Business Micro-Loan,Regular,Low Risk,Restructured,465551.85,16.99,62073.5,18,28,2025-05-20,2025-05-22
Quezon City Hub,Salary Loan,OFW Dependent,Medium Risk,Active,405978.99,21.17,68595.41,12,62,2025-03-10,2025-03-13
Davao Central Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Fully Paid,320367.84,15.51,80792.21,18,71,2025-03-25,2025-03-31
Quezon City Hub,Small Business Micro-Loan,Self-Employed,High Risk,Past Due,437015.69,18.48,112270.17,24,55,2025-04-13,2025-04-17
Quezon City Hub,OFW Remittance Advance,Regular,Low Risk,Restructured,403799.32,16.66,17007.19,18,67,2025-02-08,2025-02-13
Makati CBD Branch,Salary Loan,Contractual,Low Risk,Past Due,101419.33,19.84,65068.56,6,34,2025-01-13,2025-01-17
Quezon City Hub,OFW Remittance Advance,Contractual,Low Risk,Past Due,447353.91,9.77,87210.81,18,2,2025-02-10,2025-02-13
Makati CBD Branch,Emergency Cash Loan,Contractual,High Risk,Restructured,274277.7,9.44,90884.23,24,6,2025-02-26,2025-03-01
Davao Central Branch,Emergency Cash Loan,Regular,High Risk,Past Due,405645.68,12.33,87715.91,12,26,2025-01-12,2025-01-14
Makati CBD Branch,OFW Remittance Advance,Contractual,Medium Risk,Restructured,449084.74,10.97,29115.69,36,0,2025-01-13,2025-01-15
Makati CBD Branch,Emergency Cash Loan,Regular,Medium Risk,Active,,22.01,46436.54,18,79,2025-04-30,2025-05-03
Makati CBD Branch,Salary Loan,Self-Employed,Medium Risk,Restructured,63925.44,11.9,52665.13,24,70,2025-04-07,2025-04-13
Cebu IT Park Branch,Emergency Cash Loan,Self-Employed,High Risk,Fully Paid,121688.23,23.63,99465.91,24,43,2025-02-26,2025-03-04
Makati CBD Branch,OFW Remittance Advance,Regular,High Risk,Restructured,219282.82,13.72,44269.79,12,86,2025-02-09,2025-02-14
Quezon City Hub,OFW Remittance Advance,Contractual,High Risk,Fully Paid,410827.24,11.32,37124.02,6,40,2025-04-28,2025-04-30
Makati CBD Branch,OFW Remittance Advance,Regular,Medium Risk,Past Due,431757.99,20.74,115532.04,18,74,2025-03-21,2025-03-26
Quezon City Hub,Small Business Micro-Loan,Regular,High Risk,Restructured,13406.54,18.71,15930.64,24,41,2025-05-08,2025-05-10
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Fully Paid,260266.18,16.22,119771.19,12,32,2025-06-22,2025-06-25
Cebu IT Park Branch,Salary Loan,Regular,Medium Risk,Restructured,214531.39,17.11,86066.24,36,49,2025-02-04,2025-02-10
Davao Central Branch,Emergency Cash Loan,OFW Dependent,Low Risk,Restructured,118832.83,19.65,101989.28,24,62,2025-01-03,2025-01-09
Makati CBD Branch,Emergency Cash Loan,Self-Employed,Low Risk,Restructured,68734.03,12.04,45935.04,12,36,2025-04-30,2025-05-03
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,Low Risk,Active,175431.43,23.94,16503.1,6,58,2025-01-05,2025-01-10
Cebu IT Park Branch,Small Business Micro-Loan,Regular,Medium Risk,Fully Paid,472025.75,23.61,92476.3,6,80,2025-01-11,2025-01-16
Makati CBD Branch,Salary Loan,Self-Employed,Low Risk,Active,168369.44,18.58,102585.18,24,47,2025-05-06,2025-05-10
Quezon City Hub,OFW Remittance Advance,OFW Dependent,Low Risk,Active,264207.4,11.59,92749.99,24,4,2025-03-12,2025-03-14
Makati CBD Branch,Small Business Micro-Loan,Regular,Low Risk,Fully Paid,354479.29,19.04,29999.28,18,47,2025-04-27,2025-05-02
Makati CBD Branch,Emergency Cash Loan,Self-Employed,High Risk,Restructured,188178.51,9.62,94109.93,12,2,2025-05-18,2025-05-21
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Active,486173.22,8.98,95736.89,24,46,2025-04-16,2025-04-21
Davao Central Branch,Small Business Micro-Loan,Regular,Low Risk,Active,481599.17,12.49,84146.75,18,61,2025-04-26,2025-05-02
Makati CBD Branch,OFW Remittance Advance,Regular,High Risk,Active,133373.32,15.67,,18,13,2025-06-11,2025-06-13
Cebu IT Park Branch,Small Business Micro-Loan,Contractual,High Risk,Restructured,253651.77,21.96,103821.75,24,62,2025-03-08,2025-03-12
Davao Central Branch,Salary Loan,Contractual,High Risk,Active,157430.37,19.77,79428.43,6,60,2025-01-31,2025-02-02
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,Low Risk,Past Due,149571.84,20.01,24303.49,12,30,2025-03-16,2025-03-22
Davao Central Branch,OFW Remittance Advance,OFW Dependent,High Risk,Fully Paid,28074.6,15.1,66200.92,12,16,2025-03-12,2025-03-18
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Past Due,308686.52,13.86,23153.18,6,23,2025-03-07,2025-03-13
Davao Central Branch,Salary Loan,Regular,High Risk,Restructured,256312.72,14.25,57792.02,24,22,2025-03-11,2025-03-17
Davao Central Branch,Salary Loan,OFW Dependent,High Risk,Active,35224.59,23.81,57746.18,12,81,2025-02-10,2025-02-13
Quezon City Hub,Small Business Micro-Loan,Regular,High Risk,Fully Paid,146536.77,9.12,21931.03,24,49,2025-06-09,2025-06-13
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Active,455050.28,21.94,51626.16,24,77,2025-01-20,2025-01-26
Makati CBD Branch,Small Business Micro-Loan,Regular,Medium Risk,Restructured,127385.33,17.47,26654.8,18,78,2025-06-27,2025-07-03
Makati CBD Branch,Emergency Cash Loan,Regular,Low Risk,Fully Paid,80998.49,15.3,99864.7,6,78,2025-06-02,2025-06-07
Makati CBD Branch,Salary Loan,Contractual,Medium Risk,Past Due,249831.85,19.74,114507.24,24,69,2025-05-20,2025-05-24
Davao Central Branch,OFW Remittance Advance,Self-Employed,Medium Risk,Fully Paid,492968.72,16.04,22593.23,36,26,2025-02-08,2025-02-10
Quezon City Hub,Small Business Micro-Loan,Regular,Low Risk,Active,128607.08,22.04,,6,14,2025-05-25,2025-05-29
Quezon City Hub,Emergency Cash Loan,OFW Dependent,High Risk,Fully Paid,339346.42,22.46,69870.54,12,49,2025-02-14,2025-02-18
Cebu IT Park Branch,Small Business Micro-Loan,Contractual,Low Risk,Restructured,383193.61,15.04,46454.4,18,35,2025-05-19,2025-05-23
Makati CBD Branch,Salary Loan,OFW Dependent,Low Risk,Restructured,126442.4,12.79,23070.52,12,7,2025-03-11,2025-03-17
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Fully Paid,366826.01,17.68,67565.55,12,78,2025-05-05,2025-05-11
Davao Central Branch,Salary Loan,Regular,Low Risk,Restructured,190213.74,22.64,98424.13,6,2,2025-05-31,2025-06-03
Cebu IT Park Branch,Emergency Cash Loan,Regular,High Risk,Restructured,319829.86,11.77,89244.08,12,61,2025-04-01,2025-04-03
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,Medium Risk,Restructured,320429.56,18.16,20273.73,24,46,2025-03-11,2025-03-16
Quezon City Hub,Salary Loan,Regular,High Risk,Past Due,272529.6,18.29,22654.69,12,76,2025-06-15,2025-06-19
Quezon City Hub,Emergency Cash Loan,Regular,Medium Risk,Active,54241.99,19.86,57301.69,18,87,2025-05-10,2025-05-12
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,High Risk,Restructured,419298.22,10.54,46005.5,18,60,2025-03-25,2025-03-27
Davao Central Branch,OFW Remittance Advance,OFW Dependent,Low Risk,Fully Paid,167182.23,19.6,39400.35,36,31,2025-03-30,2025-04-02
Makati CBD Branch,Salary Loan,Self-Employed,Low Risk,Restructured,101394.07,22.59,,18,12,2025-03-20,2025-03-25
Davao Central Branch,Small Business Micro-Loan,Self-Employed,Low Risk,Past Due,29979.82,11.29,99365.69,12,0,2025-04-23,2025-04-27
Quezon City Hub,Small Business Micro-Loan,Self-Employed,High Risk,Fully Paid,299537.54,12.18,112568.95,18,33,2025-04-03,2025-04-08
Davao Central Branch,Small Business Micro-Loan,Contractual,Medium Risk,Active,342006.54,23.56,57535.78,6,61,2025-03-13,2025-03-16
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Fully Paid,18128.04,11.31,110141.66,18,78,2025-06-14,2025-06-20
Makati CBD Branch,Salary Loan,Contractual,Medium Risk,Fully Paid,260925.6,21.74,48757.05,24,77,2025-02-18,2025-02-20
Makati CBD Branch,Small Business Micro-Loan,Contractual,Low Risk,Fully Paid,120982.93,16.13,65025.88,6,81,2025-02-21,2025-02-25
Davao Central Branch,Emergency Cash Loan,Regular,High Risk,Fully Paid,326134.67,12.33,,36,70,2025-02-02,2025-02-08
Davao Central Branch,Salary Loan,Self-Employed,Medium Risk,Restructured,95439.55,22.0,82249.98,24,30,2025-01-22,2025-01-25
Davao Central Branch,Small Business Micro-Loan,Self-Employed,High Risk,Active,348559.49,15.4,117793.02,12,63,2025-04-24,2025-04-29
Quezon City Hub,Salary Loan,Contractual,Medium Risk,Restructured,199500.32,16.48,78366.78,12,24,2025-05-13,2025-05-15
Cebu IT Park Branch,Emergency Cash Loan,Regular,Low Risk,Past Due,468997.69,14.07,52570.48,12,37,2025-01-18,2025-01-22
Cebu IT Park Branch,Emergency Cash Loan,Regular,High Risk,Past Due,77385.26,17.69,83020.83,24,13,2025-06-15,2025-06-21
Makati CBD Branch,Salary Loan,Regular,Medium Risk,Fully Paid,177122.51,11.03,27906.67,24,7,2025-04-28,2025-05-04
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,Medium Risk,Restructured,65602.03,14.56,108309.2,24,53,2025-04-27,2025-04-29
Davao Central Branch,Small Business Micro-Loan,Contractual,Medium Risk,Restructured,463099.87,23.53,67823.81,6,1,2025-02-06,2025-02-11
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Active,439896.28,12.5,62181.72,6,80,2025-03-05,2025-03-08
Quezon City Hub,Small Business Micro-Loan,Regular,Low Risk,Active,136391.4,18.68,,12,77,2025-05-18,2025-05-23
Makati CBD Branch,Emergency Cash Loan,Regular,Medium Risk,Active,333392.18,13.54,80602.31,18,88,2025-03-20,2025-03-25
Quezon City Hub,Small Business Micro-Loan,Regular,Medium Risk,Restructured,410438.88,20.49,22536.46,12,55,2025-06-19,2025-06-24
Quezon City Hub,Emergency Cash Loan,Self-Employed,Low Risk,Active,282048.4,10.53,86674.81,36,83,2025-05-03,2025-05-05
Cebu IT Park Branch,OFW Remittance Advance,Contractual,Medium Risk,Active,269528.78,23.53,40402.83,6,84,2025-06-25,2025-06-27
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,High Risk,Active,128507.62,15.53,89965.03,24,60,2025-02-13,2025-02-16
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Fully Paid,55620.36,12.16,,6,21,2025-03-23,2025-03-28
Cebu IT Park Branch,Small Business Micro-Loan,Self-Employed,Medium Risk,Past Due,449635.72,9.64,99415.64,24,34,2025-03-28,2025-03-30
Cebu IT Park Branch,Salary Loan,Contractual,Low Risk,Past Due,451204.85,11.13,73012.6,36,15,2025-01-16,2025-01-19
Davao Central Branch,Small Business Micro-Loan,Self-Employed,Low Risk,Restructured,320219.71,16.56,69617.84,36,49,2025-02-23,2025-02-26
Quezon City Hub,Salary Loan,Regular,Low Risk,Restructured,176124.6,13.72,30001.98,6,42,2025-04-12,2025-04-17
Davao Central Branch,Salary Loan,OFW Dependent,Medium Risk,Fully Paid,181112.69,21.35,96411.35,24,16,2025-06-12,2025-06-16
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Past Due,365718.28,15.18,43497.98,36,79,2025-04-08,2025-04-13
Davao Central Branch,Salary Loan,Regular,High Risk,Active,449584.03,12.36,67153.02,12,57,2025-06-05,2025-06-09
Quezon City Hub,Salary Loan,Regular,Low Risk,Active,444672.35,18.07,44848.78,12,1,2025-01-02,2025-01-05
