hotel_name,booking_status,room_type,total_guests,amenities,total_nights,price_per_night,total_amount,payment_method,check_in_date,check_out_date,rating
Okada Manila,cancelled,suite,5,spa,3,3212.68,19565.66,cash,1/18/2025,2/19/2025,5
The Peninsula Manila,cancelled,double,7,spa,8,2289.93,18066.28,credit card,2/13/2025,2/19/2025,1
Grand Hyatt Manila,cancelled,suite,2,gym,1,2130.96,15106.72,credit card,2/15/2025,1/19/2025,4
Okada Manila,cancelled,double,7,gym,1,2118.93,18442.71,credit card,2/19/2025,1/4/2025,3
The Peninsula Manila,confirmed,single,10,pool,2,4953.56,24688.28,cash,1/8/2025,2/10/2025,5
The Peninsula Manila,cancelled,suite,6,pool,10,2214.46,22059.11,online transfer,2/14/2025,2/13/2025,4
The Peninsula Manila,cancelled,single,6,pool,1,3092.38,14873.6,cash,2/7/2025,1/23/2025,1
Grand Hyatt Manila,pending,single,8,pool,4,3720.59,19632.88,cash,1/31/2025,1/25/2025,5
Grand Hyatt Manila,confirmed,double,1,gym,7,1631.17,8246.84,credit card,1/2/2025,2/17/2025,4
Grand Hyatt Manila,confirmed,double,8,pool,7,1537.2,11832.23,cash,2/7/2025,2/15/2025,2
Okada Manila,cancelled,double,6,gym,9,2537.19,6900.92,credit card,1/12/2025,2/8/2025,3
The Manila Hotel,pending,single,5,gym,7,2585.13,20008.64,online transfer,1/11/2025,1/10/2025,4
The Manila Hotel,cancelled,double,1,pool,4,2395.23,15227.36,credit card,2/17/2025,1/14/2025,2
The Manila Hotel,pending,single,6,gym,3,2656.92,21778.8,credit card,2/9/2025,1/27/2025,3
Grand Hyatt Manila,pending,suite,2,gym,6,4372.96,3198.86,online transfer,2/12/2025,2/13/2025,4
The Peninsula Manila,pending,single,6,pool,3,3409.81,20805.55,credit card,1/20/2025,1/3/2025,5
Okada Manila,confirmed,double,6,gym,2,3561.36,17332.24,online transfer,2/4/2025,2/17/2025,4
The Manila Hotel,pending,suite,7,pool,1,2400.95,13652.15,cash,1/23/2025,1/18/2025,4
The Peninsula Manila,cancelled,double,10,spa,10,2134.33,18573.45,credit card,2/18/2025,1/30/2025,3
The Peninsula Manila,cancelled,single,10,pool,4,3326.91,5633.37,credit card,1/11/2025,2/12/2025,4
Grand Hyatt Manila,pending,suite,5,gym,10,1582.23,29213.39,online transfer,1/12/2025,2/4/2025,3
The Peninsula Manila,cancelled,single,1,pool,9,2444.09,10643.98,credit card,1/6/2025,1/12/2025,4
Grand Hyatt Manila,cancelled,double,3,spa,5,1890.08,25163.3,cash,2/11/2025,1/7/2025,3
The Peninsula Manila,confirmed,suite,2,gym,6,4287.64,29596.43,online transfer,1/28/2025,2/4/2025,2
The Manila Hotel,pending,double,7,pool,9,4451.02,20556.55,online transfer,1/23/2025,1/2/2025,2
The Peninsula Manila,pending,single,7,spa,2,2462.75,3034.67,cash,1/24/2025,1/24/2025,2
Grand Hyatt Manila,confirmed,single,8,pool,4,4955.35,5036.92,online transfer,1/9/2025,1/25/2025,5
Grand Hyatt Manila,pending,double,1,gym,6,3283.06,8277.72,cash,1/10/2025,2/14/2025,5
Okada Manila,confirmed,double,7,pool,7,4912.25,7302.01,online transfer,1/20/2025,1/6/2025,4
The Peninsula Manila,confirmed,single,7,gym,1,4171.58,21875.26,credit card,1/14/2025,1/16/2025,3
The Peninsula Manila,confirmed,suite,9,pool,7,1502.32,15791.31,cash,2/10/2025,1/5/2025,4
The Manila Hotel,confirmed,suite,7,pool,2,4836.03,11308.97,credit card,1/15/2025,2/2/2025,3
The Manila Hotel,confirmed,double,10,spa,10,4932.46,9778.4,credit card,1/16/2025,1/3/2025,4
The Manila Hotel,cancelled,single,2,gym,3,3688.5,21188.53,credit card,1/23/2025,1/5/2025,5
The Manila Hotel,cancelled,suite,8,pool,9,4094.61,22897.64,online transfer,1/17/2025,1/30/2025,1
Grand Hyatt Manila,pending,double,4,pool,4,3052.14,10820.72,cash,2/4/2025,2/13/2025,4
Okada Manila,cancelled,single,6,spa,6,3780.01,25336.07,credit card,1/3/2025,1/3/2025,4
Okada Manila,confirmed,double,8,pool,7,1875.23,21323.67,cash,2/15/2025,1/20/2025,4
The Peninsula Manila,pending,double,3,spa,7,4487.6,17623.29,cash,1/21/2025,2/6/2025,1
Okada Manila,confirmed,single,6,spa,5,4238.13,17178.25,cash,1/13/2025,2/16/2025,3
The Peninsula Manila,confirmed,single,7,pool,5,3892.55,28054.04,credit card,2/1/2025,1/31/2025,1
The Manila Hotel,cancelled,single,4,spa,7,4763.81,15276.11,cash,1/14/2025,1/1/2025,1
Grand Hyatt Manila,pending,single,6,spa,1,2503.34,11833.71,credit card,1/4/2025,1/24/2025,1
Okada Manila,confirmed,double,1,pool,7,1645.5,28730.79,cash,1/12/2025,1/21/2025,1
Okada Manila,pending,single,6,pool,4,4316.36,10373.18,credit card,1/15/2025,2/18/2025,4
Grand Hyatt Manila,pending,single,7,spa,4,2701.41,10441.64,online transfer,2/11/2025,2/1/2025,1
The Manila Hotel,confirmed,single,4,pool,7,4787.57,13563.02,cash,1/29/2025,1/9/2025,4
The Manila Hotel,confirmed,double,2,gym,7,3938.31,15480.41,cash,1/31/2025,2/12/2025,5
The Manila Hotel,confirmed,suite,2,pool,10,4398.66,3706.43,cash,1/16/2025,2/13/2025,1
Okada Manila,pending,suite,3,gym,9,2790.2,18715.22,online transfer,1/16/2025,1/10/2025,2
The Manila Hotel,cancelled,double,2,pool,6,4338.23,17796.95,online transfer,1/14/2025,2/17/2025,3
Grand Hyatt Manila,pending,single,3,pool,3,3624.37,21507.46,credit card,1/28/2025,2/4/2025,2
The Peninsula Manila,confirmed,suite,8,gym,10,4482.89,23125.9,online transfer,1/23/2025,1/22/2025,2
The Peninsula Manila,confirmed,double,9,spa,6,2484.42,15156.9,credit card,2/3/2025,1/29/2025,1
Okada Manila,cancelled,single,1,spa,3,2873.58,16927.4,credit card,1/14/2025,1/27/2025,4
The Manila Hotel,cancelled,suite,5,gym,3,3629.9,2052.41,online transfer,1/4/2025,1/31/2025,2
Grand Hyatt Manila,confirmed,suite,9,gym,6,2577.41,4352.14,cash,1/20/2025,1/29/2025,2
The Manila Hotel,cancelled,double,9,spa,5,4836.4,14166.22,credit card,2/9/2025,1/11/2025,5
Okada Manila,confirmed,suite,6,spa,2,3605.84,15837.08,cash,1/11/2025,1/2/2025,5
The Manila Hotel,cancelled,single,1,gym,7,2358.04,24617.51,cash,1/3/2025,1/15/2025,5
The Manila Hotel,pending,single,6,gym,8,2783.69,14263.09,online transfer,2/14/2025,2/14/2025,5
Okada Manila,confirmed,double,7,pool,10,3773.55,20985.86,online transfer,2/4/2025,2/18/2025,2
The Peninsula Manila,cancelled,single,3,gym,1,1585.87,24947.98,credit card,1/10/2025,1/26/2025,2
Okada Manila,cancelled,single,8,gym,6,2123.93,19211.45,online transfer,2/19/2025,1/5/2025,1
The Manila Hotel,cancelled,suite,7,spa,6,4622.89,20758.23,credit card,1/7/2025,1/1/2025,1
Okada Manila,cancelled,single,9,spa,4,2290.13,7351.57,credit card,1/7/2025,1/27/2025,5
The Peninsula Manila,confirmed,double,3,pool,1,1783.96,5579.42,cash,1/6/2025,1/29/2025,3
Okada Manila,pending,suite,7,gym,3,4431.48,6844.14,online transfer,1/13/2025,2/11/2025,4
The Manila Hotel,confirmed,suite,2,pool,5,3549.11,12689.26,online transfer,1/16/2025,1/26/2025,2
Grand Hyatt Manila,pending,double,6,gym,7,3686.85,20495.5,credit card,2/8/2025,1/8/2025,5
The Manila Hotel,confirmed,single,10,pool,8,2651.39,3423.73,credit card,1/1/2025,1/6/2025,3
Grand Hyatt Manila,pending,double,2,pool,7,2562.03,23580.35,credit card,1/29/2025,1/30/2025,5
The Peninsula Manila,confirmed,double,9,spa,9,1818.01,18064.77,credit card,2/16/2025,1/16/2025,3
Okada Manila,cancelled,suite,8,pool,7,3772.07,1673.82,cash,1/3/2025,1/30/2025,3
The Peninsula Manila,cancelled,single,7,gym,6,1516.15,17056.77,cash,2/8/2025,1/28/2025,4
Grand Hyatt Manila,pending,suite,5,pool,9,4567.32,3937.55,online transfer,1/14/2025,1/15/2025,2
The Peninsula Manila,pending,double,9,gym,6,3988.52,27503.79,credit card,1/28/2025,1/10/2025,5
Okada Manila,cancelled,double,5,spa,5,1699.14,11085.06,credit card,1/3/2025,1/20/2025,1
Okada Manila,cancelled,single,2,gym,5,2506.5,2121.21,cash,1/31/2025,1/18/2025,1
The Peninsula Manila,pending,single,2,gym,1,2308.95,11354.42,online transfer,2/5/2025,1/11/2025,1
The Manila Hotel,cancelled,suite,5,gym,7,4793.73,26522.89,online transfer,2/13/2025,1/9/2025,4
Okada Manila,confirmed,single,3,spa,9,4215.39,15051.9,online transfer,1/4/2025,1/2/2025,1
Grand Hyatt Manila,confirmed,double,9,gym,2,2218.66,24842.77,credit card,2/3/2025,2/1/2025,4
Okada Manila,cancelled,double,2,spa,7,4476.34,28864.28,cash,1/23/2025,1/4/2025,5
Grand Hyatt Manila,cancelled,suite,4,spa,3,2871.07,7658.93,cash,1/21/2025,1/8/2025,1
Okada Manila,cancelled,double,6,gym,1,4071.01,13952.07,online transfer,2/11/2025,1/31/2025,2
The Manila Hotel,confirmed,suite,8,gym,8,4003.98,23535.98,online transfer,1/1/2025,1/28/2025,2
Okada Manila,pending,suite,6,gym,3,3651.19,28115.31,cash,1/13/2025,2/14/2025,5
The Manila Hotel,pending,double,1,gym,2,4492.88,20379.25,cash,1/27/2025,1/11/2025,4
Grand Hyatt Manila,confirmed,double,3,spa,5,2794.67,12495.59,cash,1/17/2025,1/21/2025,5
Okada Manila,confirmed,suite,1,pool,7,2656.09,12739.47,credit card,1/21/2025,2/19/2025,4
Okada Manila,confirmed,single,4,gym,1,2568.74,24407.45,online transfer,1/14/2025,2/7/2025,3
The Peninsula Manila,cancelled,double,3,spa,3,2974.74,16699.92,online transfer,2/11/2025,1/29/2025,4
Grand Hyatt Manila,confirmed,single,1,pool,4,2856.36,25881.44,credit card,2/1/2025,1/16/2025,3
The Manila Hotel,cancelled,double,8,pool,8,4505.08,5038.44,online transfer,2/17/2025,1/13/2025,4
Okada Manila,confirmed,single,10,gym,5,3981.35,3718.24,online transfer,2/17/2025,2/9/2025,4
The Peninsula Manila,confirmed,double,7,gym,7,3506.03,5376.3,cash,1/24/2025,2/9/2025,5
The Manila Hotel,confirmed,double,7,gym,8,2860.51,14169.41,credit card,2/18/2025,2/2/2025,5
Okada Manila,pending,double,5,spa,6,3660.14,3885.73,cash,1/25/2025,1/20/2025,2
The Manila Hotel,cancelled,single,6,pool,10,4131.71,16844.2,cash,2/6/2025,2/14/2025,3
The Manila Hotel,pending,single,5,pool,3,3762.07,22675.4,online transfer,1/19/2025,1/11/2025,5
Okada Manila,confirmed,single,10,gym,10,3763.86,7032.54,online transfer,2/19/2025,2/6/2025,5
The Peninsula Manila,cancelled,single,6,spa,3,1597.42,11128.73,credit card,2/19/2025,1/9/2025,3
Okada Manila,confirmed,double,2,gym,9,4179.6,5389.47,cash,2/6/2025,1/14/2025,1
Okada Manila,cancelled,suite,3,gym,2,4450.92,13224.68,credit card,1/17/2025,2/6/2025,5
The Peninsula Manila,cancelled,suite,1,gym,3,1803.84,3881.08,credit card,2/12/2025,1/29/2025,5
Grand Hyatt Manila,pending,double,4,pool,7,3297.96,3025.55,cash,1/30/2025,2/5/2025,1
The Peninsula Manila,pending,single,9,gym,9,2860.29,2354.6,credit card,1/1/2025,2/1/2025,5
The Peninsula Manila,confirmed,suite,5,pool,6,1896.51,24110.05,online transfer,1/17/2025,1/20/2025,1
Okada Manila,confirmed,double,1,spa,9,4362.34,8496.07,cash,1/27/2025,2/2/2025,4
Grand Hyatt Manila,cancelled,double,2,spa,8,2661.41,18324.08,online transfer,2/1/2025,1/5/2025,4
The Peninsula Manila,pending,double,8,pool,9,3765.96,28880.51,online transfer,2/7/2025,1/29/2025,4
The Peninsula Manila,cancelled,double,6,pool,4,4803.65,28057.1,credit card,2/10/2025,1/3/2025,2
The Manila Hotel,cancelled,single,8,spa,5,4215.33,5390.44,online transfer,2/19/2025,1/26/2025,3
Okada Manila,cancelled,suite,4,gym,8,4044.99,9619.48,cash,1/10/2025,1/26/2025,1
Okada Manila,cancelled,single,3,pool,6,1978.17,5927.14,credit card,1/21/2025,2/9/2025,1
Okada Manila,pending,suite,5,pool,4,1552.36,25649.5,cash,2/10/2025,1/20/2025,4
The Peninsula Manila,confirmed,suite,10,gym,3,2952.09,12000.31,credit card,1/27/2025,2/15/2025,3
Okada Manila,pending,double,5,gym,8,3464.17,23828.09,online transfer,2/1/2025,1/25/2025,4
Okada Manila,cancelled,double,7,gym,9,3801.87,23272.92,online transfer,1/29/2025,2/11/2025,5
The Peninsula Manila,cancelled,single,7,gym,2,4285.13,27481.14,credit card,1/30/2025,2/7/2025,5
The Manila Hotel,confirmed,double,3,spa,2,2728.37,19129.03,cash,2/10/2025,2/2/2025,2
Okada Manila,confirmed,single,5,spa,6,2353.65,26336.55,cash,2/1/2025,1/16/2025,2
Okada Manila,confirmed,double,2,pool,4,4917.22,16672.03,online transfer,1/3/2025,2/13/2025,2
The Manila Hotel,confirmed,suite,1,spa,5,3019.41,5784.07,cash,1/17/2025,2/18/2025,4
The Peninsula Manila,pending,single,6,spa,9,2701.19,11699.01,online transfer,2/2/2025,1/9/2025,2
The Manila Hotel,confirmed,double,3,spa,5,3216.31,19327.94,cash,1/17/2025,1/4/2025,4
The Manila Hotel,cancelled,suite,2,spa,1,4820.34,16162.33,online transfer,1/18/2025,1/28/2025,5
The Peninsula Manila,cancelled,double,6,spa,6,2033.09,25145.37,online transfer,1/19/2025,2/11/2025,4
The Peninsula Manila,confirmed,single,5,gym,3,2249.44,16004.89,cash,1/26/2025,1/12/2025,3
Okada Manila,confirmed,suite,9,pool,1,4733.94,25566.61,cash,2/7/2025,1/28/2025,4
The Manila Hotel,cancelled,double,8,pool,2,1811.8,19973.59,credit card,1/26/2025,1/15/2025,5
The Manila Hotel,pending,single,8,spa,3,2541.23,17135.61,cash,1/30/2025,1/26/2025,2
Okada Manila,confirmed,double,2,spa,4,4671.74,14347.78,cash,2/18/2025,1/25/2025,4
Grand Hyatt Manila,confirmed,single,9,spa,4,4886.12,13637.96,online transfer,2/13/2025,1/18/2025,4
Grand Hyatt Manila,confirmed,suite,6,gym,4,3110.68,13669.95,online transfer,2/9/2025,1/26/2025,5
Grand Hyatt Manila,confirmed,single,10,gym,7,1848.53,2313.63,online transfer,2/8/2025,1/27/2025,2
Grand Hyatt Manila,pending,double,4,spa,7,2285.15,6180.11,cash,1/9/2025,1/10/2025,2
Grand Hyatt Manila,confirmed,single,8,spa,2,4102.13,9718.51,cash,1/23/2025,1/15/2025,3
The Manila Hotel,cancelled,single,10,pool,6,3205.01,29889.15,credit card,2/15/2025,1/11/2025,1
The Peninsula Manila,confirmed,suite,8,spa,6,3564.23,4220.28,cash,1/7/2025,1/31/2025,5
Okada Manila,confirmed,single,4,pool,7,3554.5,14521.48,cash,1/9/2025,1/12/2025,4
Grand Hyatt Manila,cancelled,single,2,pool,6,2463.03,18864.24,online transfer,1/6/2025,2/8/2025,2
Okada Manila,cancelled,double,1,pool,1,2311.93,11430.32,online transfer,2/12/2025,2/5/2025,1
Okada Manila,confirmed,suite,8,pool,4,4018.3,16515.5,cash,2/12/2025,1/4/2025,5
The Manila Hotel,confirmed,suite,3,pool,10,3683.06,27802.62,online transfer,1/24/2025,2/17/2025,3
The Manila Hotel,confirmed,single,4,pool,9,1990.96,15589.61,credit card,1/19/2025,2/10/2025,1
The Manila Hotel,pending,suite,9,gym,8,4220.78,27750.56,online transfer,1/26/2025,2/13/2025,1
Okada Manila,cancelled,suite,5,gym,10,2596.06,23322.7,cash,2/3/2025,2/4/2025,1
The Manila Hotel,cancelled,suite,5,pool,5,4478.73,16356.08,online transfer,1/28/2025,1/19/2025,1
The Manila Hotel,cancelled,double,6,gym,4,1951.2,14323.02,credit card,2/19/2025,1/22/2025,4
Grand Hyatt Manila,confirmed,double,4,gym,5,2450.75,22844.66,credit card,1/16/2025,1/15/2025,2
Grand Hyatt Manila,confirmed,double,1,gym,7,1555.28,5415.95,cash,1/31/2025,2/7/2025,4
Okada Manila,pending,suite,10,spa,10,1866.58,16407.7,credit card,1/2/2025,2/10/2025,5
Okada Manila,confirmed,single,3,gym,4,4407.99,16624.53,credit card,1/26/2025,1/20/2025,3
Grand Hyatt Manila,confirmed,double,8,pool,5,2122.67,13556.41,online transfer,2/6/2025,1/16/2025,4
The Manila Hotel,confirmed,suite,7,spa,8,2323.56,20506.04,cash,2/14/2025,2/9/2025,2
The Manila Hotel,confirmed,suite,2,spa,8,3464.78,1759.14,credit card,1/29/2025,2/11/2025,1
Grand Hyatt Manila,cancelled,single,5,spa,3,2557.01,22825.53,online transfer,1/7/2025,1/2/2025,2
Okada Manila,confirmed,single,8,pool,9,2137.89,17325.97,credit card,1/20/2025,1/24/2025,1
Okada Manila,cancelled,suite,7,spa,7,3913.76,18295.0,credit card,1/3/2025,1/15/2025,2
Okada Manila,pending,suite,8,pool,5,3753.65,8046.64,online transfer,1/22/2025,1/22/2025,1
The Manila Hotel,cancelled,double,7,gym,9,2745.01,14514.83,credit card,1/8/2025,2/17/2025,5
Okada Manila,pending,double,9,pool,2,1765.98,17396.0,credit card,1/3/2025,1/21/2025,4
Okada Manila,confirmed,single,10,spa,5,3043.81,25407.77,online transfer,2/17/2025,2/14/2025,3
The Manila Hotel,cancelled,single,4,gym,5,3873.77,10850.62,credit card,1/14/2025,2/15/2025,1
The Manila Hotel,confirmed,single,6,spa,9,3665.4,3278.36,online transfer,1/26/2025,1/30/2025,5
Okada Manila,confirmed,double,9,gym,2,1548.95,18441.74,credit card,1/6/2025,1/6/2025,3
Grand Hyatt Manila,pending,double,1,spa,3,1809.86,22669.71,credit card,1/8/2025,1/15/2025,4
Grand Hyatt Manila,pending,single,3,spa,3,2815.79,12239.57,credit card,2/18/2025,1/24/2025,5
The Manila Hotel,pending,single,4,gym,4,4681.77,20699.39,cash,2/4/2025,2/1/2025,2
The Manila Hotel,pending,suite,5,gym,4,2476.21,9590.22,online transfer,1/13/2025,1/24/2025,2
The Manila Hotel,confirmed,single,10,pool,6,2852.7,29659.76,credit card,1/24/2025,1/29/2025,3
Grand Hyatt Manila,confirmed,suite,5,pool,2,3583.01,19744.89,credit card,1/16/2025,2/4/2025,2
The Peninsula Manila,pending,single,10,gym,5,4556.37,12143.81,credit card,2/1/2025,1/5/2025,5
The Manila Hotel,pending,single,1,spa,3,4458.36,22475.69,credit card,1/9/2025,2/18/2025,1
Okada Manila,pending,suite,3,gym,2,3762.91,6802.21,online transfer,1/2/2025,2/13/2025,1
Grand Hyatt Manila,cancelled,single,8,gym,1,2589.48,3558.61,credit card,2/16/2025,1/31/2025,4
Okada Manila,confirmed,single,9,pool,7,4729.03,16951.86,cash,1/12/2025,1/20/2025,2
Grand Hyatt Manila,cancelled,double,2,gym,6,4966.33,26760.05,online transfer,1/1/2025,2/5/2025,4
Okada Manila,cancelled,single,7,pool,9,3311.35,15601.11,credit card,1/16/2025,1/20/2025,3
The Manila Hotel,confirmed,suite,1,spa,4,1690.37,2539.22,cash,2/5/2025,1/26/2025,5
The Peninsula Manila,confirmed,double,3,gym,3,4396.84,26836.04,online transfer,2/17/2025,2/6/2025,1
Okada Manila,cancelled,single,1,pool,3,1662.85,8080.64,cash,1/13/2025,1/27/2025,2
Okada Manila,confirmed,double,1,spa,2,4239.38,17715.03,credit card,2/19/2025,1/11/2025,5
Grand Hyatt Manila,pending,single,5,pool,3,2473.01,24428.19,cash,1/26/2025,1/28/2025,4
The Peninsula Manila,cancelled,single,1,pool,2,2228.33,6279.73,online transfer,1/1/2025,2/9/2025,1
The Peninsula Manila,cancelled,double,5,gym,9,1555.58,25236.63,credit card,1/9/2025,2/12/2025,1
The Peninsula Manila,confirmed,double,8,pool,2,2177.68,23314.27,credit card,2/4/2025,1/12/2025,4
The Peninsula Manila,cancelled,suite,7,gym,8,2223.09,8075.83,credit card,1/13/2025,2/14/2025,5
The Manila Hotel,pending,suite,10,spa,9,4972.45,10938.23,credit card,1/24/2025,2/19/2025,3
The Peninsula Manila,pending,single,9,pool,5,3843.96,17322.88,credit card,1/23/2025,1/8/2025,3
The Manila Hotel,pending,double,7,gym,10,4072.97,6787.79,online transfer,1/18/2025,2/6/2025,1
The Peninsula Manila,pending,single,1,spa,1,4116.71,6759.98,credit card,1/11/2025,1/25/2025,5
Okada Manila,confirmed,double,6,pool,8,4737.59,25835.56,cash,1/28/2025,1/2/2025,1
Okada Manila,confirmed,double,9,pool,8,4840.16,10659.12,credit card,2/15/2025,2/8/2025,2
The Manila Hotel,pending,suite,7,pool,8,3294.18,22565.64,online transfer,1/13/2025,1/26/2025,1
The Peninsula Manila,pending,suite,8,spa,5,2378.71,23699.36,cash,1/10/2025,1/25/2025,4
The Manila Hotel,cancelled,single,2,pool,7,2713.94,14815.84,credit card,1/1/2025,2/11/2025,5
Grand Hyatt Manila,cancelled,suite,5,spa,4,3178.14,1611.41,cash,2/10/2025,2/14/2025,4
Grand Hyatt Manila,cancelled,suite,5,pool,8,4697.46,27804.97,credit card,1/17/2025,2/13/2025,5
Okada Manila,cancelled,single,1,spa,8,1536.46,22251.85,credit card,2/12/2025,1/16/2025,3
The Manila Hotel,pending,double,2,pool,7,4656.78,24178.81,online transfer,1/24/2025,2/19/2025,2
The Peninsula Manila,confirmed,suite,7,spa,6,2415.19,17184.57,cash,2/17/2025,2/16/2025,5
The Manila Hotel,cancelled,suite,6,gym,4,4493.55,4521.11,online transfer,1/22/2025,1/3/2025,1
Grand Hyatt Manila,cancelled,suite,4,spa,1,4571.09,19512.92,online transfer,1/29/2025,2/3/2025,1
Okada Manila,confirmed,single,3,spa,4,3861.61,14261.47,online transfer,2/3/2025,1/30/2025,4
The Manila Hotel,cancelled,single,9,spa,1,3845.35,9724.8,credit card,1/4/2025,1/31/2025,5
The Peninsula Manila,pending,suite,7,gym,8,4884.09,5423.8,online transfer,2/12/2025,2/18/2025,4
Grand Hyatt Manila,confirmed,double,5,gym,7,3218.28,2493.57,online transfer,1/9/2025,1/27/2025,5
The Manila Hotel,confirmed,single,10,pool,10,3855.9,23709.31,online transfer,1/13/2025,1/21/2025,4
The Manila Hotel,cancelled,single,10,spa,8,2360.43,14718.44,online transfer,2/4/2025,1/6/2025,5
The Peninsula Manila,confirmed,double,6,pool,5,1604.18,12231.02,cash,2/18/2025,2/17/2025,1
The Peninsula Manila,confirmed,single,10,gym,8,3497.69,9644.08,credit card,1/23/2025,1/11/2025,5
The Peninsula Manila,pending,single,1,spa,5,4732.37,13275.04,credit card,1/24/2025,2/12/2025,4
The Manila Hotel,cancelled,double,4,gym,8,3303.15,13171.38,credit card,1/23/2025,2/11/2025,1
Grand Hyatt Manila,cancelled,double,3,pool,2,1613.72,9863.2,cash,1/17/2025,2/1/2025,4
Grand Hyatt Manila,pending,single,5,gym,5,2002.53,25494.12,online transfer,1/14/2025,2/2/2025,5
